Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1477478640,661.88,661.88,661.88,661.88,0.0178,11.781464,661.88
1477482240,661.91,661.91,661.91,661.91,0.11982999999999999,79.3166753,661.91
1477485840,663.2,663.2,663.2,663.2,0.01,6.632000000000001,663.2
1477489440,665.99,665.99,665.95,665.95,0.13323492,88.731961439,665.98127157
1477493040,667.06,668.1,667.06,668.1,0.332012,221.74152392,667.87201643
1477496640,667.59,667.59,667.59,667.59,0.72,480.6648,667.59
1477500240,667.31,668.59,667.31,668.59,10.64063901,7102.7028921,667.5071756
1477503840,671.88,672.13,671.88,672.13,0.04182443,28.107224136,672.02886294
1477507440,675.32,675.32,674.86,674.86,0.74680352,504.30122351,675.27965523
1477511040,673.77,673.77,672.45,672.45,0.61047909,410.58507674,672.5620639
1477514640,671.04,671.04,668.6,668.6,0.07017138,47.040954835,670.37237739
1477518240,671.78,671.78,671.78,671.78,0.14848611,99.749998976,671.78
1477521840,669.69,669.94,669.57,669.92,14.15691107,9480.0030662,669.63781996
1477525440,674.59,674.59,674.59,674.59,0.10816422,72.96650117,674.59
1477529040,672.43,672.43,670.12,670.31,2.09410913,1405.5082692,671.17240886
1477532640,679.0,679.0,679.0,679.0,1.00100792,679.68437768,679.0
1477536240,679.97,679.99,679.56,679.99,0.17864331,121.44128495,679.79755272
1477539840,681.0,681.0,681.0,681.0,0.35200000000000004,239.71200000000002,681.0
1477543440,680.7,680.7,680.7,680.7,5.0,3403.5,680.7
1477547040,679.11,679.11,679.11,679.11,0.47857907,325.00783223,679.11
1477550640,681.0,681.0,681.0,681.0,0.0107,7.2867,681.0
1477554240,684.95,684.95,684.95,684.95,0.049710000000000004,34.0488645,684.95
1477557840,681.86,682.84,681.84,682.84,4.47384122,3053.5998785,682.54542982
1477561440,681.84,681.86,681.84,681.86,5.5224,3765.4857449,681.85675519
1477565040,680.04,681.73,680.04,681.73,6.4038,4365.2063155000005,681.65875191
1477568640,681.97,681.97,681.97,681.97,0.01971274,13.443497297999999,681.97
1477572240,678.97,678.97,678.97,678.97,0.04368381,29.659996476,678.97
1477575840,678.46,678.46,678.45,678.46,0.57490355,390.04831349999995,678.45869711
1477579440,679.71,679.71,679.71,679.71,1.88276761,1279.7359722,679.71
1477583040,680.0,680.57,679.99,680.57,1.84522058,1254.7956562000002,680.02474596
1477586640,677.14,677.93,677.01,677.01,2.62413316,1777.678974,677.43474345
1477590240,677.94,677.96,677.94,677.96,0.94132859,638.16442437,677.94012755
1477593840,678.61,678.62,678.61,678.62,0.13858433,94.045958025,678.61898978
1477597440,682.05,682.5,682.03,682.03,2.26839927,1547.3438118,682.13027232
1477601040,680.93,680.93,680.92,680.92,1.0,680.92542583,680.92542583
1477604640,679.59,679.59,679.59,679.59,0.15553129999999998,105.69751617,679.59
1477608240,680.36,680.36,680.36,680.36,0.00817098,5.5592079528,680.36
